rating,country
2,AFG
2.5,PAK
2,COD
2.5,HTI
3.5,IND
0,IRQ
2.5,ETH
3,VNM
2.5,TZA
1.5,SDN
3,MOZ
2.5,COG
3,KEN
2.5,UGA
0,IDN
0,CHN
4,GHA
3,BGD
3,NGA
0,ZAF
