Population,condition,value,
U.S. population,% with a bachelor's degree or more among ages 25 and older,28
Asians,% with a bachelor's degree or more among ages 25 and older,49
Whites,% with a bachelor's degree or more among ages 25 and older,31
Blacks,% with a bachelor's degree or more among ages 25 and older,18
Hispanics,% with a bachelor's degree or more among ages 25 and older,13
