statement,group,percentage,
Most people who want to get ahead can make it if they're willing to work hard,U.S. Asians,69,
Most people who want to get ahead can make it if they're willing to work hard,General public,58,
Americans from my country of origin group are very hardworking,U.S. Asians,93,
Thinking about the country as a whole Americans are very hardworking,U.S. Asians,57,
