question,howcommon,percentage,
% saying extreme religious views among inmates are...,Very common,12,
% saying extreme religious views among inmates are...,Somewhat,29,
% saying extreme religious views among inmates are...,Not too/not at all,58,
% of chaplains saying extremism poses a threat in the prisons where they work ...,Very common,4,
% of chaplains saying extremism poses a threat in the prisons where they work ...,Somewhat,19,
% of chaplains saying extremism poses a threat in the prisons where they work ...,Not too/not at all,76,
